type	gene_id
colon-specific	FASTKD1
colon-specific	IP6K2
colon-specific	LRP4
ileum-specific	ABCC2
ileum-specific	ADIRF
ileum-specific	ANGPTL4
ileum-specific	ANXA13
ileum-specific	ARAP2
ileum-specific	ARFGAP3
ileum-specific	ARID5B
ileum-specific	BCMO1
ileum-specific	C2
ileum-specific	CCRL1
ileum-specific	CFI
ileum-specific	CHRFAM7A
ileum-specific	CHRNA7
ileum-specific	CYP2D6
ileum-specific	FIBP
ileum-specific	G6PC
ileum-specific	GPX4
ileum-specific	GRAMD1B
ileum-specific	GSTM2
ileum-specific	IRF8
ileum-specific	KAT2B
ileum-specific	LPGAT1
ileum-specific	MICAL1
ileum-specific	MYO1A
ileum-specific	PLA2G4C
ileum-specific	PLLP
ileum-specific	TMEM14A
ileum-specific	TRIM22
ileum-specific	CCL25
ileum-specific	ASPA
ileum-specific	ALCAM
ileum-specific	EDF1
ileum-specific	ELL3
ileum-specific	GRK5
ileum-specific	PSD4
ileum-specific	SEC31A
ileum-specific	SEL1L3
ileum-specific	TMX4
colon-specific	PPAP2A
colon-specific	VDAC3
colon-specific	ABCA1
colon-specific	HIGD2A
colon-specific	RPSA
colon-specific	KCNK1
colon-specific	PDHB
colon-specific	AVIL
ileum-specific	AGAP6
ileum-specific	SEPP1
ileum-specific	SLC35B1
ileum-specific	GLS
ileum-specific	LAPTM4B
ileum-specific	RASA4
ileum-specific	SIDT2
ileum-specific	SULT1A3
colon-specific	APMAP
colon-specific	C12orf49
colon-specific	CASP7
colon-specific	CLIC1
colon-specific	CLIP2
colon-specific	CMAS
colon-specific	FAM171A1
colon-specific	FGFBP1
colon-specific	KCNJ2
colon-specific	KCTD5
colon-specific	03-Mar
colon-specific	ME3
colon-specific	MRPL12
colon-specific	MRPL13
colon-specific	NAT1
colon-specific	NDUFA10
colon-specific	NDUFV1
colon-specific	PDE9A
colon-specific	PHLDA2
colon-specific	PTGDR
colon-specific	RAB32
colon-specific	RPIA
colon-specific	RSU1
colon-specific	RTN3
colon-specific	SDC4
colon-specific	SPAG1
colon-specific	SPINT2
colon-specific	TEX11
colon-specific	TTLL12
colon-specific	UBAC1
colon-specific	UBE2E1
colon-specific	UNC13B
colon-specific	UNG
colon-specific	UPP1
colon-specific	UQCRH
colon-specific	ABHD11
ileum-specific	BTN3A1
ileum-specific	ATHL1
ileum-specific	SLC6A4
colon-specific	RPLP0
colon-specific	CKAP4
colon-specific	DSG2
colon-specific	ENDOD1
colon-specific	NET1
colon-specific	PLOD2
ileum-specific	AGAP4
ileum-specific	AGAP5
ileum-specific	AGAP7
ileum-specific	AGAP8
ileum-specific	RP11-464F9.1
ileum-specific	FOLH1
colon-specific	RPS6
colon-specific	GTF2A2
colon-specific	COX7A2
colon-specific	HMGB3
colon-specific	MVP
colon-specific	TGIF1
ileum-specific	PRSS1
colon-specific	STX3
colon-specific	SCNN1B
colon-specific	STRA13
colon-specific	TGIF2-C20orf24
ileum-specific	RASA4B
colon-specific	AGFG2
colon-specific	AP3S2
colon-specific	HNMT
colon-specific	NQO1
colon-specific	PKP2
colon-specific	UBE2N
colon-specific	WDR1
ileum-specific	SLC9A3R1
ileum-specific	TREH
ileum-specific	GGT1
ileum-specific	GSTM1
colon-specific	GOLPH3L
colon-specific	ESD
ileum-specific	ESRRG
ileum-specific	ZNF512B
colon-specific	ABR
colon-specific	LETM1
ileum-specific	PCYT1A
ileum-specific	RFX5
ileum-specific	TRAM1
colon-specific	OAS1
ileum-specific	SLCO2B1
colon-specific	BEST2
colon-specific	CA7
colon-specific	GOT2
colon-specific	LRRC1
colon-specific	PRR5L
colon-specific	S100A6
ileum-specific	ARPC1B
ileum-specific	FAM102A
ileum-specific	GSTA4
ileum-specific	PPL
ileum-specific	SERPINB5
ileum-specific	TM4SF5
colon-specific	PSG8
colon-specific	ACAT1
colon-specific	CAST
colon-specific	FH
ileum-specific	CYP4F3
ileum-specific	CCSER2
ileum-specific	CD8B
ileum-specific	DCAF11
ileum-specific	DGKA
ileum-specific	ELOVL5
ileum-specific	HPCAL1
ileum-specific	IGFBP7
ileum-specific	PHF15
ileum-specific	RP11-738E22.2
ileum-specific	SH3BP5
ileum-specific	SLC13A1
colon-specific	GNAQ
colon-specific	SLC44A4
ileum-specific	MUC3A
ileum-specific	BTN3A2
ileum-specific	FOXN3
ileum-specific	GOSR2
ileum-specific	NMT1
ileum-specific	SLC4A7
ileum-specific	TNFRSF10B
colon-specific	COX7B
colon-specific	SNRPD1
ileum-specific	ACBD4
ileum-specific	ACSL5
ileum-specific	ALDH1A3
ileum-specific	ATP6V1B2
ileum-specific	BCL11B
ileum-specific	BPHL
ileum-specific	C8G
ileum-specific	CBX7
ileum-specific	CD302
ileum-specific	FOXD1
ileum-specific	GALNT14
ileum-specific	GNPAT
ileum-specific	GSTA3
ileum-specific	LBH
ileum-specific	LCT
ileum-specific	LGALS2
ileum-specific	NCSTN
ileum-specific	PAQR3
ileum-specific	PARP6
ileum-specific	PDGFC
ileum-specific	PLA2G16
ileum-specific	PRKAG2
ileum-specific	SERPINE2
ileum-specific	SLC5A12
ileum-specific	SOAT2
ileum-specific	TCN2
ileum-specific	TMEM243
