type	gene_id
colon-like	RP1-193H18.2
colon-like	UGP2
colon-like	AC046143.3
colon-like	CAMK1D
colon-like	PPM1L
colon-like	KIAA2022
colon-like	HOXB9
colon-like	NETO2
colon-like	ZNF695
colon-like	PLCD1
colon-like	ART3
colon-like	STX19
colon-like	ELOVL6
colon-like	ZNF702P
colon-like	SCGB2A1
colon-like	ARHGAP8
colon-like	TLE1P1
colon-like	HOXB-AS4
colon-like	NDST3
colon-like	KLF8
colon-like	RP11-61N20.3
colon-like	ACOT13
colon-like	GNAQP1
colon-like	NIPAL4
colon-like	ERN2
colon-like	CLMN
colon-like	ADGRA3
colon-like	PROM1
colon-like	ESRP1
colon-like	MB
colon-like	RP11-616K22.1
colon-like	C12orf45
colon-like	HES1
colon-like	RAB23
colon-like	FAM86JP
colon-like	TST
colon-like	FAM169A
colon-like	GRIN1
colon-like	ZC3H12C
colon-like	C1QTNF9
colon-like	MIER3
colon-like	VAV3
colon-like	ATP8B1
colon-like	HIGD1A
colon-like	SLC25A12
colon-like	GJB2
colon-like	WIPI1
colon-like	FMN1
colon-like	JAG1
colon-like	CTD-2377D24.6
colon-like	PRSS23
colon-like	RASD2
colon-like	TCEA3
colon-like	HOXA6
colon-like	FAM86EP
colon-like	MESP1
colon-like	NECTIN4
colon-like	RP11-1399P15.1
colon-like	AP001505.10
colon-like	MGST1
colon-like	CTD-2201E9.1
colon-like	DOC2A
colon-like	CDKL1
colon-like	ATP10B
colon-like	FOXA1
colon-like	PHLDA2
colon-like	CCDC110
colon-like	NTRK2
colon-like	TFRC
colon-like	HOXA7
colon-like	FNIP2
colon-like	SCNN1A
colon-like	ARHGEF40
colon-like	TMEM158
colon-like	TRIM16L
colon-like	ABCC3
colon-like	HOMER1
colon-like	AMACR
colon-like	ANKRD20A5P
colon-like	NBPF14
colon-like	MARCH3
colon-like	CTD-2547H18.1
colon-like	APOBR
colon-like	BCAS1
colon-like	ZNF575
colon-like	MTFP1
colon-like	SMIM14
colon-like	RSAD2
colon-like	AK7
colon-like	CFAP54
colon-like	ESRP2
colon-like	MARK1
colon-like	TMEM63C
colon-like	TCEAL9
colon-like	USP53
colon-like	RP3-425P12.4
colon-like	RIMS3
colon-like	LGALS4
colon-like	TMPRSS2
colon-like	TTLL12
colon-like	SVIL
colon-like	ZNF774
colon-like	SERINC5
colon-like	CALB2
colon-like	PCCA
colon-like	MTSS1
colon-like	C3orf67
colon-like	FAM83H-AS1
colon-like	KCNJ12
colon-like	ZG16B
colon-like	TMEM44
colon-like	ID3
colon-like	CD59
colon-like	RPP40
colon-like	PTP4A1
colon-like	PPP1R26-AS1
colon-like	IMPA2
colon-like	PPP1R9A
colon-like	PPP1R1B
colon-like	LITAF
colon-like	APIP
colon-like	IGHV3-7
colon-like	RP5-965G21.3
colon-like	LINC01006
colon-like	SLC25A33
colon-like	HMGCR
colon-like	RP5-1148A21.3
colon-like	MAL2
colon-like	DSCAML1
colon-like	RPS11P5
colon-like	IGKV2-24
colon-like	CTC-348L5.1
colon-like	EMP1
colon-like	PKP2
colon-like	RP11-296O14.3
colon-like	FZD8
colon-like	TSPO
colon-like	FABP5P7
colon-like	SRI
colon-like	PIGR
colon-like	FAHD2CP
colon-like	CYCS
colon-like	KCNJ2
colon-like	TMEM246
colon-like	GYG2
colon-like	NRARP
colon-like	RPSAP36
colon-like	RP11-631M6.3
colon-like	C9orf152
colon-like	ME3
colon-like	KCNMA1
colon-like	UQCC2
colon-like	ZNF69
colon-like	IGKV2-30
colon-like	PQLC1
colon-like	GLUL
colon-like	PLAC4
colon-like	EBPL
colon-like	C15orf48
colon-like	RP11-649A18.3
colon-like	ESYT3
colon-like	RP11-762L8.6
colon-like	FAM83D
colon-like	BAG3
colon-like	MORN2
colon-like	RP11-164P12.5
colon-like	C5orf30
colon-like	GPT
colon-like	GPR39
colon-like	ACAT2
colon-like	FA2H
colon-like	ZDHHC23
colon-like	GSPT2
colon-like	RP5-1056H1.2
colon-like	SYNE2
colon-like	ZNF486
colon-like	PTPN20
ileum-like	GTF2IP4
ileum-like	RTN4
ileum-like	CCDC92
ileum-like	CTA-363E6.6
ileum-like	NHSL1
ileum-like	EFHD1
ileum-like	MCOLN3
ileum-like	IL2RB
ileum-like	SIDT2
ileum-like	C20orf196
ileum-like	ADH6
ileum-like	SSTR1
ileum-like	C9orf40
ileum-like	AJUBA
