type,gene
Goblet,Alyref2
Goblet,Galnt4
Goblet,Prr24
Goblet,Litaf
Goblet,Fam98a
Goblet,Pcsk9
Goblet,Zbtb8a
Goblet,Tmem63a
Goblet,Dap
Goblet,Trim47
Goblet,Ssr3
Goblet,Edem3
Goblet,Tst
Goblet,Ang
Goblet,Slc38a10
Goblet,Guk1
Goblet,Pcsk7
Goblet,Trabd
Goblet,Gfi1
Goblet,Gnpnat1
Goblet,Pdxdc1
Goblet,Hspa5
Goblet,Slc35a2
Goblet,Slc37a3
Goblet,Arl1
Goblet,Smim5
Goblet,Ccnd3
Goblet,Sar1a
Goblet,F2rl1
Goblet,Stt3a
Goblet,Tdrd7
Goblet,Spcs3
Goblet,Sidt1
Goblet,Pdia3
Goblet,Lss
Goblet,Cmpk1
Goblet,Naga
Goblet,Sh3bgrl3
Goblet,Slc41a2
Goblet,Ostc
Goblet,Fgfr3
Goblet,Fut8
Goblet,Ggcx
Goblet,Plac9a
Goblet,Sec61b
Goblet,Bscl2
Goblet,Golm1
Goblet,Klf4
Goblet,Ssr4
Goblet,Srprb
Goblet,Yipf6
Goblet,Clptm1l
Goblet,Id4
Goblet,Arf4
Goblet,Gale
Goblet,Eif4ebp1
Goblet,Srpr
Goblet,Tbc1d30
Goblet,Akr1c14
Goblet,Zc3h7a
Goblet,D17Wsu104e
Goblet,S100a16
Goblet,Mknk2
Goblet,Tmprss2
Goblet,Tc2n
Goblet,Slc35c1
Goblet,Ufsp2
Goblet,Tmem165
Goblet,Tmsb10
Goblet,Sec62
Goblet,Bet1
Goblet,Cyp51
Goblet,Fam3c
Goblet,Mfsd7a
Goblet,Slc37a1
Goblet,Cmtm8
Goblet,Adam9
Goblet,Art2a-ps
Goblet,Capns1
Goblet,Syt7
Goblet,Pdia4
Goblet,Slc22a23
Goblet,Yipf5
Goblet,H2-T9
Goblet,Atf4
Goblet,Ick
Goblet,Srm
Goblet,Plaur
Goblet,Pyroxd1
Goblet,Fry
Goblet,Cyp2j9
Goblet,Sep15
Goblet,Sc4mol
Goblet,Stk38l
Goblet,Bmp8a
Goblet,Spryd3
Goblet,Gne
Goblet,Aldh3b2
Goblet,Rell1
Goblet,Krtcap2
Goblet,Sec23b
Goblet,St3gal1
Goblet,Tmem56
Goblet,Tulp4
Goblet,Capn7
Goblet,Gpr180
Goblet,Txndc11
Goblet,Copb2
Goblet,Calr
Goblet,Homer2
Goblet,Ssr2
Goblet,Tbrg1
Goblet,Jtb
Goblet,Syvn1
Goblet,Morf4l2
Goblet,Rpn2
Goblet,Ugp2
Goblet,H13
Goblet,Slc16a6
Goblet,Slc39a1
Goblet,Gm1123
Goblet,Copg1
Goblet,Ssr1
Goblet,Tmed2
Goblet,Ank3
Goblet,Tmbim4
Goblet,Rpn1
Goblet,Uggt1
Goblet,Utp11l
Goblet,Ppib
Goblet,Camsap3
